a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
1.243636363636364e-06,-2.7931812996823884e-07,-1.172299975273972e-06,7.629331203318835e-06
1.251818181818182e-06,8.670053079838019e-08,-1.0008221103577378e-06,7.301874222853983e-06
1.2600000000000002e-06,5.160928115520417e-07,-7.792597490215495e-07,6.804333923355042e-06
1.2681818181818185e-06,1.011711020018615e-06,-5.030366253053838e-07,6.466944105250973e-06
1.2763636363636365e-06,1.575623879034947e-06,-1.678423036399859e-07,5.9833866312616735e-06
1.2845454545454548e-06,2.2089446194387706e-06,2.3023830550092302e-07,5.691830088295406e-06
1.2927272727272728e-06,2.9116492672031192e-06,6.945814861868238e-07,5.302237539449894e-06
1.300909090909091e-06,3.682387107232486e-06,1.2278678659488539e-06,5.161833756301571e-06
1.3090909090909093e-06,4.518285779611462e-06,1.8319130806300413e-06,5.0027815991352776e-06
1.3172727272727274e-06,5.414753962775702e-06,2.50748725561189e-06,5.154951521688526e-06
1.3254545454545456e-06,6.365285115834799e-06,3.2541250356579364e-06,5.362505763769307e-06
1.333636363636364e-06,7.36126628155557e-06,4.069928364888522e-06,5.884895869319402e-06
1.341818181818182e-06,8.391796483353621e-06,4.951364718969776e-06,6.477825516457107e-06
1.3500000000000002e-06,9.443519773660472e-06,5.893064014343149e-06,7.330039154209917e-06
1.3581818181818185e-06,1.0500478495450039e-05,6.887617955550849e-06,8.232694660039276e-06
1.3663636363636365e-06,1.1543992790348448e-05,7.925386124835655e-06,9.341008782762951e-06
1.3745454545454548e-06,1.2552572811135763e-05,8.9943136620433e-06,1.0479536175608989e-05
1.382727272727273e-06,1.3501870457888733e-05,1.0079765918261883e-05,1.1793707615006363e-05
1.390909090909091e-06,1.4364677738758144e-05,1.1164385979519029e-05,1.3123246864320062e-05
1.3990909090909093e-06,1.5110979040804539e-05,1.2227981429689159e-05,1.4616677001423448e-05
1.4072727272727276e-06,1.570806466516422e-05,1.3247447136989817e-05,1.611352248019048e-05
1.4154545454545456e-06,1.6120712915484362e-05,1.4196731190718639e-05,1.777353665914992e-05
1.4236363636363639e-06,1.631144781039366e-05,1.5046851370051452e-05,1.942637268712917e-05
1.431818181818182e-06,1.624087910150142e-05,1.576596967875536e-05,2.1248204590595645e-05
1.4400000000000002e-06,1.58681307005246e-05,1.631953250865442e-05,2.305344480287985e-05
1.4481818181818184e-06,1.5151362836387147e-05,1.6670483878062443e-05,2.5037601843628568e-05
1.4563636363636365e-06,1.4048392261026448e-05,1.677955890753586e-05,2.699753241272747e-05
1.4645454545454547e-06,1.2517413588992722e-05,1.660566422630745e-05,2.914908690735036e-05
1.472727272727273e-06,1.0517823381451707e-05,1.6106351334248354e-05,3.12715965616822e-05
1.480909090909091e-06,8.011146864073412e-06,1.5238388062666342e-05,3.360056853580783e-05
